Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Year,Item_Type_New,Outlet,Item
FDA15,9.3,0,0.016047301,4,249.8092,OUT049,1999,1,0,1,3735.138,14,Food,9,1
DRC01,5.92,1,0.019278216,14,48.2692,OUT018,2009,1,2,2,443.4228,4,Drinks,3,0
FDN15,17.5,0,0.016760075,10,141.618,OUT049,1999,1,0,1,2097.27,14,Food,9,1
FDX07,19.2,1,0.02291051,6,182.095,OUT010,1998,2,2,0,732.38,15,Food,0,1
NCD19,8.93,0,0.016164306,9,53.8614,OUT013,1987,0,2,1,994.7052,26,Non-Consumable,1,2
FDP36,10.395,1,0.091392321,0,51.4008,OUT018,2009,1,2,2,556.6088,4,Food,3,1
FDO10,13.65,1,0.012741089,13,57.6588,OUT013,1987,0,2,1,343.5528,26,Food,1,1
FDP10,19,0,0.127469857,13,107.7622,OUT027,1985,1,2,3,4022.7636,28,Food,5,1
FDH17,16.2,1,0.016687114,5,96.9726,OUT045,2002,2,1,1,1076.5986,11,Food,7,1
FDU28,19.2,1,0.09444959,5,187.8214,OUT017,2007,2,1,1,4710.535,6,Food,2,1
FDY07,11.8,0,0.121879573,6,45.5402,OUT049,1999,1,0,1,1516.0266,14,Food,9,1
FDA03,18.5,1,0.045463773,4,144.1102,OUT046,1997,2,0,1,2187.153,16,Food,8,1
FDX32,15.1,1,0.1000135,6,145.4786,OUT049,1999,1,0,1,1589.2646,14,Food,9,1
FDS46,17.6,1,0.047257328,13,119.6782,OUT046,1997,2,0,1,2145.2076,16,Food,8,1
FDF32,16.35,0,0.0680243,6,196.4426,OUT013,1987,0,2,1,1977.426,26,Food,1,1
FDP49,9,1,0.069088961,2,56.3614,OUT046,1997,2,0,1,1547.3192,16,Food,8,1
NCB42,11.8,0,0.008596051,8,115.3492,OUT018,2009,1,2,2,1621.8888,4,Non-Consumable,3,2
FDP49,9,1,0.069196376,2,54.3614,OUT049,1999,1,0,1,718.3982,14,Food,9,1
DRI11,8.26,0,0.034237682,7,113.2834,OUT027,1985,1,2,3,2303.668,28,Drinks,5,0
FDU02,13.35,0,0.10249212,4,230.5352,OUT035,2004,2,1,1,2748.4224,9,Food,6,1
FDN22,18.85,1,0.138190277,13,250.8724,OUT013,1987,0,2,1,3775.086,26,Food,1,1
